# Automated Sine Wave Measurement
# Timestamp,2025-12-11 15:28:40
# Frequency (Hz),5000
# Amplitude Set (Vpp),3.0
# VPP Measured (V),5.080000
# Vmax (V),2.532800
# Vmin (V),-2.547200
# VRMS (V),1.652961

Time (s),Voltage (V)
0.000010400,1.372800
0.000010500,1.452800
0.000010600,1.412800
0.000010700,1.492800
0.000010800,1.412800
0.000010900,1.532800
0.000011000,1.452800
0.000011100,1.532800
0.000011200,1.492800
0.000011300,1.572800
0.000011400,1.492800
0.000011500,1.572800
0.000011600,1.532800
0.000011700,1.612800
0.000011800,1.612800
0.000011900,1.532800
0.000012000,1.572800
0.000012100,1.652800
0.000012200,1.612800
0.000012300,1.692800
0.000012400,1.612800
0.000012500,1.732800
0.000012600,1.652800
0.000012700,1.732800
0.000012800,1.652800
0.000012900,1.772800
0.000013000,1.692800
0.000013100,1.772800
0.000013200,1.692800
0.000013300,1.812800
0.000013400,1.732800
0.000013500,1.812800
0.000013600,1.812800
0.000013700,1.732800
0.000013800,1.772800
0.000013900,1.852800
0.000014000,1.772800
0.000014100,1.892800
0.000014200,1.812800
0.000014300,1.892800
0.000014400,1.812800
0.000014500,1.932800
0.000014600,1.852800
0.000014700,1.972800
0.000014800,1.892800
0.000014900,1.972800
0.000015000,1.932800
0.000015100,1.972800
0.000015200,1.932800
0.000015300,2.012800
0.000015400,1.932800
0.000015500,2.052800
0.000015600,1.972800
0.000015700,2.052800
0.000015800,1.972800
0.000015900,2.052800
0.000016000,2.012800
0.000016100,2.092800
0.000016200,2.012800
0.000016300,2.092800
0.000016400,2.012800
0.000016500,2.132800
0.000016600,2.052800
0.000016700,2.132800
0.000016800,2.052800
0.000016900,2.172800
0.000017000,2.092800
0.000017100,2.172800
0.000017200,2.092800
0.000017300,2.172800
0.000017400,2.132800
0.000017500,2.172800
0.000017600,2.132800
0.000017700,2.212800
0.000017800,2.212800
0.000017900,2.132800
0.000018000,2.132800
0.000018100,2.252800
0.000018200,2.252800
0.000018300,2.172800
0.000018400,2.252800
0.000018500,2.172800
0.000018600,2.212800
0.000018700,2.292800
0.000018800,2.212800
0.000018900,2.292800
0.000019000,2.212800
0.000019100,2.292800
0.000019200,2.252800
0.000019300,2.332800
0.000019400,2.252800
0.000019500,2.332800
0.000019600,2.252800
0.000019700,2.372800
0.000019800,2.332800
0.000019900,2.252800
0.000020000,2.292800
0.000020100,2.372800
0.000020200,2.292800
0.000020300,2.372800
0.000020400,2.292800
0.000020500,2.372800
0.000020600,2.292800
0.000020700,2.412800
0.000020800,2.332800
0.000020900,2.412800
0.000021000,2.412800
0.000021100,2.332800
0.000021200,2.332800
0.000021300,2.452800
0.000021400,2.332800
0.000021500,2.412800
0.000021600,2.332800
0.000021700,2.452800
0.000021800,2.372800
0.000021900,2.452800
0.000022000,2.372800
0.000022100,2.492800
0.000022200,2.452800
0.000022300,2.372800
0.000022400,2.372800
0.000022500,2.492800
0.000022600,2.452800
0.000022700,2.372800
0.000022800,2.412800
0.000022900,2.492800
0.000023000,2.412800
0.000023100,2.492800
0.000023200,2.492800
0.000023300,2.412800
0.000023400,2.412800
0.000023500,2.492800
0.000023600,2.492800
0.000023700,2.412800
0.000023800,2.492800
0.000023900,2.412800
0.000024000,2.492800
0.000024100,2.412800
0.000024200,2.412800
0.000024300,2.492800
0.000024400,2.412800
0.000024500,2.532800
0.000024600,2.492800
0.000024700,2.412800
0.000024800,2.492800
0.000024900,2.412800
0.000025000,2.492800
0.000025100,2.452800
0.000025200,2.412800
0.000025300,2.532800
0.000025400,2.492800
0.000025500,2.452800
0.000025600,2.492800
0.000025700,2.412800
0.000025800,2.452800
0.000025900,2.532800
0.000026000,2.452800
0.000026100,2.532800
0.000026200,2.492800
0.000026300,2.452800
0.000026400,2.412800
0.000026500,2.532800
0.000026600,2.492800
0.000026700,2.412800
0.000026800,2.532800
0.000026900,2.412800
0.000027000,2.492800
0.000027100,2.452800
0.000027200,2.412800
0.000027300,2.532800
0.000027400,2.492800
0.000027500,2.412800
0.000027600,2.412800
0.000027700,2.532800
0.000027800,2.492800
0.000027900,2.412800
0.000028000,2.412800
0.000028100,2.532800
0.000028200,2.412800
0.000028300,2.492800
0.000028400,2.492800
0.000028500,2.372800
0.000028600,2.452800
0.000028700,2.372800
0.000028800,2.372800
0.000028900,2.492800
0.000029000,2.452800
0.000029100,2.372800
0.000029200,2.372800
0.000029300,2.492800
0.000029400,2.452800
0.000029500,2.372800
0.000029600,2.452800
0.000029700,2.332800
0.000029800,2.452800
0.000029900,2.332800
0.000030000,2.332800
0.000030100,2.452800
0.000030200,2.412800
0.000030300,2.332800
0.000030400,2.412800
0.000030500,2.292800
0.000030600,2.332800
0.000030700,2.412800
0.000030800,2.292800
0.000030900,2.412800
0.000031000,2.292800
0.000031100,2.372800
0.000031200,2.372800
0.000031300,2.292800
0.000031400,2.292800
0.000031500,2.372800
0.000031600,2.332800
0.000031700,2.252800
0.000031800,2.332800
0.000031900,2.252800
0.000032000,2.332800
0.000032100,2.252800
0.000032200,2.252800
0.000032300,2.292800
0.000032400,2.292800
0.000032500,2.212800
0.000032600,2.212800
0.000032700,2.292800
0.000032800,2.292800
0.000032900,2.172800
0.000033000,2.252800
0.000033100,2.172800
0.000033200,2.252800
0.000033300,2.172800
0.000033400,2.252800
0.000033500,2.132800
0.000033600,2.132800
0.000033700,2.252800
0.000033800,2.212800
0.000033900,2.132800
0.000034000,2.172800
0.000034100,2.092800
0.000034200,2.092800
0.000034300,2.172800
0.000034400,2.092800
0.000034500,2.172800
0.000034600,2.132800
0.000034700,2.052800
0.000034800,2.052800
0.000034900,2.132800
0.000035000,2.132800
0.000035100,2.012800
0.000035200,2.092800
0.000035300,2.012800
0.000035400,2.092800
0.000035500,2.012800
0.000035600,2.052800
0.000035700,1.972800
0.000035800,1.972800
0.000035900,2.052800
0.000036000,2.052800
0.000036100,1.932800
0.000036200,2.012800
0.000036300,1.932800
0.000036400,1.972800
0.000036500,1.892800
0.000036600,1.972800
0.000036700,1.852800
0.000036800,1.932800
0.000036900,1.812800
0.000037000,1.892800
0.000037100,1.812800
0.000037200,1.892800
0.000037300,1.772800
0.000037400,1.852800
0.000037500,1.772800
0.000037600,1.852800
0.000037700,1.732800
0.000037800,1.812800
0.000037900,1.732800
0.000038000,1.812800
0.000038100,1.692800
0.000038200,1.772800
0.000038300,1.692800
0.000038400,1.692800
0.000038500,1.772800
0.000038600,1.732800
0.000038700,1.652800
0.000038800,1.612800
0.000038900,1.732800
0.000039000,1.692800
0.000039100,1.612800
0.000039200,1.652800
0.000039300,1.572800
0.000039400,1.652800
0.000039500,1.572800
0.000039600,1.532800
0.000039700,1.652800
0.000039800,1.532800
0.000039900,1.612800
0.000040000,1.492800
0.000040100,1.572800
0.000040200,1.532800
0.000040300,1.452800
0.000040400,1.532800
0.000040500,1.452800
0.000040600,1.492800
0.000040700,1.412800
0.000040800,1.412800
0.000040900,1.492800
0.000041000,1.452800
0.000041100,1.372800
0.000041200,1.412800
0.000041300,1.332800
0.000041400,1.412800
0.000041500,1.332800
0.000041600,1.372800
0.000041700,1.292800
0.000041800,1.292800
0.000041900,1.372800
0.000042000,1.332800
0.000042100,1.252800
0.000042200,1.292800
0.000042300,1.212800
0.000042400,1.292800
0.000042500,1.172800
0.000042600,1.252800
0.000042700,1.172800
0.000042800,1.212800
0.000042900,1.092800
0.000043000,1.172800
0.000043100,1.092800
0.000043200,1.132800
0.000043300,1.052800
0.000043400,1.052800
0.000043500,1.132800
0.000043600,1.092800
0.000043700,1.012800
0.000043800,1.052800
0.000043900,0.972800
0.000044000,1.052800
0.000044100,0.932800
0.000044200,1.012800
0.000044300,0.932800
0.000044400,0.972800
0.000044500,0.892800
0.000044600,0.932800
0.000044700,0.852800
0.000044800,0.932800
0.000044900,0.812800
0.000045000,0.892800
0.000045100,0.812800
0.000045200,0.852800
0.000045300,0.772800
0.000045400,0.852800
0.000045500,0.732800
0.000045600,0.812800
0.000045700,0.732800
0.000045800,0.772800
0.000045900,0.692800
0.000046000,0.732800
0.000046100,0.652800
0.000046200,0.732800
0.000046300,0.652800
0.000046400,0.612800
0.000046500,0.692800
0.000046600,0.652800
0.000046700,0.572800
0.000046800,0.652800
0.000046900,0.532800
0.000047000,0.612800
0.000047100,0.532800
0.000047200,0.492800
0.000047300,0.572800
0.000047400,0.532800
0.000047500,0.452800
0.000047600,0.532800
0.000047700,0.412800
0.000047800,0.412800
0.000047900,0.452800
0.000048000,0.412800
0.000048100,0.332800
0.000048200,0.412800
0.000048300,0.292800
0.000048400,0.372800
0.000048500,0.292800
0.000048600,0.332800
0.000048700,0.252800
